Packaging Date,State,Pallet Packaging No.,Pallet SAP HU,Box Packaging No.,Box SAP HU,Unique Part Ident. No.,TTNR,Variant,Packaging Index,Part still boxed ?,Invalid
17/11/2017,Assigned,100000000026,,000000000050,,6273075351,0261S19174,0,570,Currently boxed,Valid
17/11/2017,Assigned,100000000026,,000000000050,,6273075352,0261S19174,0,570,Currently boxed,Valid
17/11/2017,Assigned,100000000026,,000000000050,,6273075353,0261S19174,0,570,Currently boxed,Valid
17/11/2017,Assigned,100000000026,,000000000050,,6273075354,0261S19174,0,570,Currently boxed,Valid
17/11/2017,Assigned,100000000026,,000000000050,,6273075355,0261S19174,0,570,Currently boxed,Valid
17/11/2017,Assigned,100000000026,,000000000050,,6273075356,0261S19174,0,570,Currently boxed,Valid
17/11/2017,Assigned,100000000026,,000000000050,,6273075357,0261S19174,0,570,Currently boxed,Valid
17/11/2017,Assigned,100000000026,,000000000050,,6273075358,0261S19174,0,570,Currently boxed,Valid
17/11/2017,Assigned,100000000026,,000000000051,,6273075359,0261S19174,0,570,Currently boxed,Valid
17/11/2017,Assigned,100000000026,,000000000051,,6273075360,0261S19174,0,570,Currently boxed,Valid
17/11/2017,Assigned,100000000026,,000000000051,,6273075361,0261S19174,0,570,Currently boxed,Valid
17/11/2017,Assigned,100000000026,,000000000051,,6273075362,0261S19174,0,570,Currently boxed,Valid
17/11/2017,Assigned,100000000026,,000000000051,,6273075363,0261S19174,0,570,Currently boxed,Valid
17/11/2017,Assigned,100000000026,,000000000051,,6273075364,0261S19174,0,570,Currently boxed,Valid
17/11/2017,Assigned,100000000026,,000000000051,,6273075365,0261S19174,0,570,Currently boxed,Valid
17/11/2017,Assigned,100000000026,,000000000051,,6273075366,0261S19174,0,570,Currently boxed,Valid
17/11/2017,Assigned,100000000026,,000000000052,,6273075367,0261S19174,0,570,Currently boxed,Valid
17/11/2017,Assigned,100000000026,,000000000052,,6273075368,0261S19174,0,570,Currently boxed,Valid
17/11/2017,Assigned,100000000026,,000000000052,,6273075369,0261S19174,0,570,Currently boxed,Valid
17/11/2017,Assigned,100000000026,,000000000052,,6273075370,0261S19174,0,570,Currently boxed,Valid
17/11/2017,Assigned,100000000026,,000000000052,,6273075371,0261S19174,0,570,Currently boxed,Valid
17/11/2017,Assigned,100000000026,,000000000052,,6273075372,0261S19174,0,570,Currently boxed,Valid
17/11/2017,Assigned,100000000026,,000000000052,,6273075373,0261S19174,0,570,Currently boxed,Valid
17/11/2017,Assigned,100000000026,,000000000052,,6273075374,0261S19174,0,570,Currently boxed,Valid
17/11/2017,Assigned,100000000026,,000000000053,,6273075375,0261S19174,0,570,Currently boxed,Valid
17/11/2017,Assigned,100000000026,,000000000053,,6273075376,0261S19174,0,570,Currently boxed,Valid
17/11/2017,Assigned,100000000026,,000000000053,,6273075377,0261S19174,0,570,Currently boxed,Valid
17/11/2017,Assigned,100000000026,,000000000053,,6273075378,0261S19174,0,570,Currently boxed,Valid
17/11/2017,Assigned,100000000026,,000000000053,,6273075379,0261S19174,0,570,Currently boxed,Valid
17/11/2017,Assigned,100000000026,,000000000053,,6273075380,0261S19174,0,570,Currently boxed,Valid
17/11/2017,Assigned,100000000026,,000000000053,,6273075381,0261S19174,0,570,Currently boxed,Valid
17/11/2017,Assigned,100000000026,,000000000053,,6273075382,0261S19174,0,570,Currently boxed,Valid
