Packaging Date,State,Pallet Packaging No.,Pallet SAP HU,Box Packaging No.,Box SAP HU,Unique Part Ident. No.,TTNR,Variant,Packaging Index,Part still boxed ?,Invalid
31-10-2017,Assigned,100000000023,,000000000044,,5127307535,0261S19187,0,570,Currently boxed,Valid
31-10-2017,Assigned,100000000023,,000000000044,,5127307536,0261S19187,0,570,Currently boxed,Valid
31-10-2017,Assigned,100000000023,,000000000044,,5127307537,0261S19187,0,570,Currently boxed,Valid
31-10-2017,Assigned,100000000023,,000000000044,,5127307538,0261S19187,0,570,Currently boxed,Valid
31-10-2017,Assigned,100000000023,,000000000044,,5127307539,0261S19187,0,570,Currently boxed,Valid
31-10-2017,Assigned,100000000023,,000000000044,,5127307540,0261S19187,0,570,Currently boxed,Valid
31-10-2017,Assigned,100000000023,,000000000044,,5127307541,0261S19187,0,570,Currently boxed,Valid
31-10-2017,Assigned,100000000023,,000000000044,,5127307542,0261S19187,0,570,Currently boxed,Valid
31-10-2017,Assigned,100000000023,,000000000045,,5127307543,0261S19187,0,570,Currently boxed,Valid
31-10-2017,Assigned,100000000023,,000000000045,,5127307544,0261S19187,0,570,Currently boxed,Valid
31-10-2017,Assigned,100000000023,,000000000045,,5127307545,0261S19187,0,570,Currently boxed,Valid
31-10-2017,Assigned,100000000023,,000000000045,,5127307546,0261S19187,0,570,Currently boxed,Valid
31-10-2017,Assigned,100000000023,,000000000045,,5127307547,0261S19187,0,570,Currently boxed,Valid
31-10-2017,Assigned,100000000023,,000000000045,,5127307548,0261S19187,0,570,Currently boxed,Valid
31-10-2017,Assigned,100000000023,,000000000045,,5127307549,0261S19187,0,570,Currently boxed,Valid
31-10-2017,Assigned,100000000023,,000000000045,,5127307550,0261S19187,0,570,Currently boxed,Valid
31-10-2017,Assigned,100000000023,,000000000046,,5127307551,0261S19187,0,570,Currently boxed,Valid
31-10-2017,Assigned,100000000023,,000000000046,,5127307552,0261S19187,0,570,Currently boxed,Valid
31-10-2017,Assigned,100000000023,,000000000046,,5127307553,0261S19187,0,570,Currently boxed,Valid
31-10-2017,Assigned,100000000023,,000000000046,,5127307554,0261S19187,0,570,Currently boxed,Valid
31-10-2017,Assigned,100000000023,,000000000046,,5127307555,0261S19187,0,570,Currently boxed,Valid
31-10-2017,Assigned,100000000023,,000000000046,,5127307556,0261S19187,0,570,Currently boxed,Valid
31-10-2017,Assigned,100000000023,,000000000046,,5127307557,0261S19187,0,570,Currently boxed,Valid
31-10-2017,Assigned,100000000023,,000000000046,,5127307558,0261S19187,0,570,Currently boxed,Valid
31-10-2017,Assigned,100000000023,,000000000047,,5127307559,0261S19187,0,570,Currently boxed,Valid
31-10-2017,Assigned,100000000023,,000000000047,,5127307560,0261S19187,0,570,Currently boxed,Valid
31-10-2017,Assigned,100000000023,,000000000047,,5127307561,0261S19187,0,570,Currently boxed,Valid
31-10-2017,Assigned,100000000023,,000000000047,,5127307562,0261S19187,0,570,Currently boxed,Valid
31-10-2017,Assigned,100000000023,,000000000047,,5127307563,0261S19187,0,570,Currently boxed,Valid
31-10-2017,Assigned,100000000023,,000000000047,,5127307564,0261S19187,0,570,Currently boxed,Valid
31-10-2017,Assigned,100000000023,,000000000047,,5127307565,0261S19187,0,570,Currently boxed,Valid
31-10-2017,Assigned,100000000023,,000000000047,,5127307566,0261S19187,0,570,Currently boxed,Valid
