SCHED_DT,SCHED_HR,CUST_PART_NO,CLOSE_STK,WIP_QTY,QTY
07-Oct-2017,00,39103-03249,5,0,0
07-Oct-2017,00,39101-03201,78,29,8
07-Oct-2017,6,39101-03201,0,0,6
07-Oct-2017,8,39101-03201,0,0,5
07-Oct-2017,18,39101-03201,0,0,1
07-Oct-2017,20,39101-03201,0,0,9
08-Oct-2017,0,39101-03201,0,0,20
09-Oct-2017,20,39101-03201,0,0,18
07-Oct-2017,00,39103-03201,614,112,73
07-Oct-2017,6,39103-03201,0,0,40
07-Oct-2017,8,39103-03201,0,0,63
07-Oct-2017,10,39103-03201,0,0,68
07-Oct-2017,12,39103-03201,0,0,61
07-Oct-2017,14,39103-03201,0,0,33
07-Oct-2017,16,39103-03201,0,0,27
07-Oct-2017,18,39103-03201,0,0,39
07-Oct-2017,20,39103-03201,0,0,20
08-Oct-2017,0,39103-03201,0,0,41
08-Oct-2017,2,39103-03201,0,0,46
08-Oct-2017,4,39103-03201,0,0,54
09-Oct-2017,6,39103-03201,0,0,59
09-Oct-2017,8,39103-03201,0,0,69
09-Oct-2017,10,39103-03201,0,0,68
09-Oct-2017,12,39103-03201,0,0,59
09-Oct-2017,14,39103-03201,0,0,59
09-Oct-2017,16,39103-03201,0,0,58
09-Oct-2017,18,39103-03201,0,0,11
09-Oct-2017,20,39103-03201,0,0,30
07-Oct-2017,00,39103-03203,8,0,4
07-Oct-2017,6,39103-03203,0,0,3
07-Oct-2017,8,39103-03203,0,0,1
07-Oct-2017,00,39103-03207,1,0,1
07-Oct-2017,00,39103-03212,2,0,0
07-Oct-2017,20,39103-03212,0,0,1
07-Oct-2017,00,39103-03237,154,23,4
07-Oct-2017,6,39103-03237,0,0,9
07-Oct-2017,8,39103-03237,0,0,5
07-Oct-2017,14,39103-03237,0,0,20
07-Oct-2017,16,39103-03237,0,0,4
07-Oct-2017,18,39103-03237,0,0,17
07-Oct-2017,20,39103-03237,0,0,20
08-Oct-2017,2,39103-03237,0,0,20
08-Oct-2017,4,39103-03237,0,0,20
09-Oct-2017,6,39103-03237,0,0,5
09-Oct-2017,18,39103-03237,0,0,16
09-Oct-2017,20,39103-03237,0,0,5
07-Oct-2017,00,39103-03248,2,0,0
07-Oct-2017,20,39103-03248,0,0,1
