PALLET_ID,STATUS,LOC_ID,LABEL,INVOICE,STATE,PART_NO,QTY,OWNER,SEQ
PAL1,Ready,14630,,,1,,0,RBAI,0
PAL2,Ready,14630,,,1,,0,RBAI,0
PAL3,Ready,14630,,,1,,0,RBAI,0
PAL4,Ready,14630,,,1,,0,RBAI,0
PAL5,Ready,14630,,,1,,0,RBAI,0
PAL6,Ready,14630,,,1,,0,RBAI,0
PAL7,Ready,14630,,,1,,0,RBAI,0
PAL8,Ready,14630,,,1,,0,RBAI,0
PAL9,Ready,14630,,,1,,0,RBAI,0
PAL10,Ready,14630,,,1,,0,RBAI,0
PAL11,Ready,14630,,,1,,0,RBAI,0
PAL12,Ready,14630,,,1,,0,RBAI,0
PAL13,Ready,14630,,,1,,0,RBAI,0
PAL14,Ready,14630,,,1,,0,RBAI,0
PAL15,Ready,14630,,,1,,0,RBAI,0
PAL16,Ready,14630,,,1,,0,RBAI,0
PAL17,Ready,14630,,,1,,0,RBAI,0
PAL18,Ready,14630,,,1,,0,RBAI,0
PAL19,Ready,14630,,,1,,0,RBAI,0
PAL20,Ready,14630,,,1,,0,RBAI,0
PAL21,Ready,14630,,,1,,0,RBAI,0
PAL22,Ready,14630,,,1,,0,RBAI,0
PAL23,Ready,14630,,,1,,0,RBAI,0
PAL24,Ready,14630,,,1,,0,RBAI,0
PAL25,Ready,14630,,,1,,0,RBAI,0
PAL26,Ready,14630,,,1,,0,RBAI,0
PAL27,Ready,14630,,,1,,0,RBAI,0
PAL28,Ready,14630,,,1,,0,RBAI,0
PAL29,Ready,14630,,,1,,0,RBAI,0
