BIN_ID,PALLET_ID,STATUS,LOC_ID,LABEL,INVOICE,STATE,PART_NO,QTY,OWNER,SEQ
BIN1,,Ready,1760,,,1,,0,RBAI,0
BIN2,,Ready,1760,,,1,,0,RBAI,0
BIN3,,Ready,1760,,,1,,0,RBAI,0
BIN4,,Ready,1760,,,1,,0,RBAI,0
BIN5,,Ready,1760,,,1,,0,RBAI,0
BIN6,,Ready,1760,,,1,,0,RBAI,0
BIN7,,Ready,1760,,,1,,0,RBAI,0
BIN8,,Ready,1760,,,1,,0,RBAI,0
BIN9,,Ready,1760,,,1,,0,RBAI,0
BIN10,,Ready,1760,,,1,,0,RBAI,0
BIN11,,Ready,1760,,,1,,0,RBAI,0
BIN12,,Ready,1760,,,1,,0,RBAI,0
BIN13,,Ready,1760,,,1,,0,RBAI,0
BIN14,,Ready,1760,,,1,,0,RBAI,0
BIN15,,Ready,1760,,,1,,0,RBAI,0
BIN16,,Ready,1760,,,1,,0,RBAI,0
BIN17,,Ready,1760,,,1,,0,RBAI,0
BIN18,,Ready,1760,,,1,,0,RBAI,0
BIN19,,Ready,1760,,,1,,0,RBAI,0
BIN20,,Ready,1760,,,1,,0,RBAI,0
BIN21,,Ready,1760,,,1,,0,RBAI,0
BIN22,,Ready,1760,,,1,,0,RBAI,0
BIN23,,Ready,1760,,,1,,0,RBAI,0
BIN24,,Ready,1760,,,1,,0,RBAI,0
BIN25,,Ready,1760,,,1,,0,RBAI,0
BIN26,,Ready,1760,,,1,,0,RBAI,0
BIN27,,Ready,1760,,,1,,0,RBAI,0
BIN28,,Ready,1760,,,1,,0,RBAI,0
BIN29,,Ready,1760,,,1,,0,RBAI,0
BIN30,,Ready,1760,,,1,,0,RBAI,0
