PALLET_ID,STATUS,LOC_ID,LABEL,INVOICE,STATE,PART_NO,QTY,OWNER,SEQ
1000000000000001,Ready,1760,,,1,,0,RBAI,0
1000000000000002,Ready,1760,,,1,,0,RBAI,0
1000000000000003,Ready,1760,,,1,,0,RBAI,0
1000000000000004,Ready,1760,,,1,,0,RBAI,0
1000000000000005,Ready,1760,,,1,,0,RBAI,0
1000000000000006,Ready,1760,,,1,,0,RBAI,0
1000000000000007,Ready,1760,,,1,,0,RBAI,0
1000000000000008,Ready,1760,,,1,,0,RBAI,0
1000000000000009,Ready,1760,,,1,,0,RBAI,0
1000000000000010,Ready,1760,,,1,,0,RBAI,0
1000000000000011,Ready,1760,,,1,,0,RBAI,0
1000000000000012,Ready,1760,,,1,,0,RBAI,0
1000000000000013,Ready,1760,,,1,,0,RBAI,0
1000000000000014,Ready,1760,,,1,,0,RBAI,0
1000000000000015,Ready,1760,,,1,,0,RBAI,0
1000000000000016,Ready,1760,,,1,,0,RBAI,0
1000000000000017,Ready,1760,,,1,,0,RBAI,0
1000000000000018,Ready,1760,,,1,,0,RBAI,0
1000000000000019,Ready,1760,,,1,,0,RBAI,0
1000000000000020,Ready,1760,,,1,,0,RBAI,0
