PALLET_ID,STATUS,LOC_ID,LABEL,INVOICE,STATE,PART_NO,QTY,OWNER,SEQ
W720817710000001,Ready,1760,,,1,,0,RBAI,0
W720817710000002,Ready,1760,,,1,,0,RBAI,0
W720817710000003,Ready,1760,,,1,,0,RBAI,0
W720817710000004,Ready,1760,,,1,,0,RBAI,0
W720817710000005,Ready,1760,,,1,,0,RBAI,0
W720817710000006,Ready,1760,,,1,,0,RBAI,0
W720817710000007,Ready,1760,,,1,,0,RBAI,0
W720817710000008,Ready,1760,,,1,,0,RBAI,0
W720817710000009,Ready,1760,,,1,,0,RBAI,0
W720817710000010,Ready,1760,,,1,,0,RBAI,0
W720817710000011,Ready,1760,,,1,,0,RBAI,0
W720817710000012,Ready,1760,,,1,,0,RBAI,0
W720817710000013,Ready,1760,,,1,,0,RBAI,0
W720817710000014,Ready,1760,,,1,,0,RBAI,0
W720817710000015,Ready,1760,,,1,,0,RBAI,0
W720817710000016,Ready,1760,,,1,,0,RBAI,0
W720817710000017,Ready,1760,,,1,,0,RBAI,0
W720817710000018,Ready,1760,,,1,,0,RBAI,0
W720817710000019,Ready,1760,,,1,,0,RBAI,0
W720817710000020,Ready,1760,,,1,,0,RBAI,0
W720817710000021,Ready,1760,,,1,,0,RBAI,0
W720817710000022,Ready,1760,,,1,,0,RBAI,0
W720817710000023,Ready,1760,,,1,,0,RBAI,0
W720817710000024,Ready,1760,,,1,,0,RBAI,0
W720817710000025,Ready,1760,,,1,,0,RBAI,0
W720817710000026,Ready,1760,,,1,,0,RBAI,0
W720817710000027,Ready,1760,,,1,,0,RBAI,0
W720817710000028,Ready,1760,,,1,,0,RBAI,0
W720817710000029,Ready,1760,,,1,,0,RBAI,0
W720817710000030,Ready,1760,,,1,,0,RBAI,0
W720817710000031,Ready,1760,,,1,,0,RBAI,0
W720817710000032,Ready,1760,,,1,,0,RBAI,0
W720817710000033,Ready,1760,,,1,,0,RBAI,0
W720817710000034,Ready,1760,,,1,,0,RBAI,0
W720817710000035,Ready,1760,,,1,,0,RBAI,0
W720817710000036,Ready,1760,,,1,,0,RBAI,0
W720817710000037,Ready,1760,,,1,,0,RBAI,0
W720817710000038,Ready,1760,,,1,,0,RBAI,0
W720817710000039,Ready,1760,,,1,,0,RBAI,0
W720817710000040,Ready,1760,,,1,,0,RBAI,0
W720817710000041,Ready,1760,,,1,,0,RBAI,0
W720817710000042,Ready,1760,,,1,,0,RBAI,0
W720817710000043,Ready,1760,,,1,,0,RBAI,0
W720817710000044,Ready,1760,,,1,,0,RBAI,0
W720817710000045,Ready,1760,,,1,,0,RBAI,0
W720817710000046,Ready,1760,,,1,,0,RBAI,0
W720817710000047,Ready,1760,,,1,,0,RBAI,0
W720817710000048,Ready,1760,,,1,,0,RBAI,0
W720817710000049,Ready,1760,,,1,,0,RBAI,0
W720817710000050,Ready,1760,,,1,,0,RBAI,0
W720817710000051,Ready,1760,,,1,,0,RBAI,0
W720817710000052,Ready,1760,,,1,,0,RBAI,0
W720817710000053,Ready,1760,,,1,,0,RBAI,0
W720817710000054,Ready,1760,,,1,,0,RBAI,0
W720817710000055,Ready,1760,,,1,,0,RBAI,0
W720817710000056,Ready,1760,,,1,,0,RBAI,0
W720817710000057,Ready,1760,,,1,,0,RBAI,0
W720817710000058,Ready,1760,,,1,,0,RBAI,0
W720817710000059,Ready,1760,,,1,,0,RBAI,0
W720817710000060,Ready,1760,,,1,,0,RBAI,0
W720817710000061,Ready,1760,,,1,,0,RBAI,0
W720817710000062,Ready,1760,,,1,,0,RBAI,0
W720817710000063,Ready,1760,,,1,,0,RBAI,0
W720817710000064,Ready,1760,,,1,,0,RBAI,0
W720817710000065,Ready,1760,,,1,,0,RBAI,0
W720817710000066,Ready,1760,,,1,,0,RBAI,0
W720817710000067,Ready,1760,,,1,,0,RBAI,0
W720817710000068,Ready,1760,,,1,,0,RBAI,0
W720817710000069,Ready,1760,,,1,,0,RBAI,0
W720817710000070,Ready,1760,,,1,,0,RBAI,0
W720817710000071,Ready,1760,,,1,,0,RBAI,0
W720817710000072,Ready,1760,,,1,,0,RBAI,0
W720817710000073,Ready,1760,,,1,,0,RBAI,0
W720817710000074,Ready,1760,,,1,,0,RBAI,0
W720817710000075,Ready,1760,,,1,,0,RBAI,0
W720817710000076,Ready,1760,,,1,,0,RBAI,0
W720817710000077,Ready,1760,,,1,,0,RBAI,0
W720817710000078,Ready,1760,,,1,,0,RBAI,0
W720817710000079,Ready,1760,,,1,,0,RBAI,0
W720817710000080,Ready,1760,,,1,,0,RBAI,0
