BIN_ID,STATUS,LOC_ID,PALLET_ID,LABEL,INVOICE,STATE,PART_NO,QTY,OWNER,SEQ
1000,Ready,14630,,,,1,,0,RBAI,0
1001,Ready,14630,,,,1,,0,RBAI,0
1002,Ready,14630,,,,1,,0,RBAI,0
1003,Ready,14630,,,,1,,0,RBAI,0
1004,Ready,14630,,,,1,,0,RBAI,0
1005,Ready,14630,,,,1,,0,RBAI,0
1006,Ready,14630,,,,1,,0,RBAI,0
1007,Ready,14630,,,,1,,0,RBAI,0
1008,Ready,14630,,,,1,,0,RBAI,0
1009,Ready,14630,,,,1,,0,RBAI,0
1010,Ready,14630,,,,1,,0,RBAI,0
1011,Ready,14630,,,,1,,0,RBAI,0
1012,Ready,14630,,,,1,,0,RBAI,0
1013,Ready,14630,,,,1,,0,RBAI,0
1014,Ready,14630,,,,1,,0,RBAI,0
1015,Ready,14630,,,,1,,0,RBAI,0
1016,Ready,14630,,,,1,,0,RBAI,0
1017,Ready,14630,,,,1,,0,RBAI,0
1018,Ready,14630,,,,1,,0,RBAI,0
1019,Ready,14630,,,,1,,0,RBAI,0
1020,Ready,14630,,,,1,,0,RBAI,0
1021,Ready,14630,,,,1,,0,RBAI,0
1022,Ready,14630,,,,1,,0,RBAI,0
1023,Ready,14630,,,,1,,0,RBAI,0
1024,Ready,14630,,,,1,,0,RBAI,0
1025,Ready,14630,,,,1,,0,RBAI,0
1026,Ready,14630,,,,1,,0,RBAI,0
1027,Ready,14630,,,,1,,0,RBAI,0
1028,Ready,14630,,,,1,,0,RBAI,0
